nohup: ignoring input
Namespace(batch_size=8, class_num=2, cuda_num=1, encoder_type='resnet34', evaluate_step=100, gradient_accumulation_steps=4, lr=0.0001, model_type='FPN', num_epoch=50, path_img='/mnt/sda1/songzimeng/cv_project/img/', path_label='/mnt/sda1/songzimeng/cv_project/label/', save_dir='/mnt/sda1/songzimeng/cv_project/models/', save_interval=5, step_interval=10, step_save=1000, total_updates=50000, val_set=0, weight_decay=0.001)
/mnt/sda1/songzimeng/cv_project/models/val_0_FPNresnet34_2021-06-07-20-17-51 make!
cuda
device:  1
train: ['ds1', 'ds2', 'ds3', 'ds4', 'ds5', 'ds6', 'ds7', 'ds8', 'ds9', 'ds10']
valid: ['ds11', 'ds12', 'ds13']
get_images_and_labels 5418 5418
get_images_and_labels 293 293
epoch:  1
[epoch:1, iter:10] Loss: 0.970 | MIoU: 41.056% 
[epoch:1, iter:20] Loss: 0.716 | MIoU: 52.621% 
[epoch:1, iter:30] Loss: 0.642 | MIoU: 57.280% 
[epoch:1, iter:40] Loss: 0.549 | MIoU: 61.297% 
[epoch:1, iter:50] Loss: 0.489 | MIoU: 64.553% 
[epoch:1, iter:60] Loss: 0.448 | MIoU: 66.306% 
[epoch:1, iter:70] Loss: 0.429 | MIoU: 67.154% 
[epoch:1, iter:80] Loss: 0.407 | MIoU: 68.321% 
[epoch:1, iter:90] Loss: 0.390 | MIoU: 69.145% 
[epoch:1, iter:100] Loss: 0.371 | MIoU: 69.973% 
[epoch:1, iter:110] Loss: 0.355 | MIoU: 70.551% 
[epoch:1, iter:120] Loss: 0.343 | MIoU: 71.029% 
[epoch:1, iter:130] Loss: 0.329 | MIoU: 71.899% 
[epoch:1, iter:140] Loss: 0.320 | MIoU: 72.266% 
[epoch:1, iter:150] Loss: 0.311 | MIoU: 72.797% 
[epoch:1, iter:160] Loss: 0.308 | MIoU: 72.943% 
[epoch:1, iter:170] Loss: 0.297 | MIoU: 73.633% 
[epoch:1, iter:180] Loss: 0.290 | MIoU: 74.238% 
[epoch:1, iter:190] Loss: 0.285 | MIoU: 74.495% 
[epoch:1, iter:200] Loss: 0.278 | MIoU: 74.952% 
[epoch:1, iter:210] Loss: 0.272 | MIoU: 75.273% 
[epoch:1, iter:220] Loss: 0.266 | MIoU: 75.661% 
[epoch:1, iter:230] Loss: 0.260 | MIoU: 75.999% 
[epoch:1, iter:240] Loss: 0.255 | MIoU: 76.369% 
[epoch:1, iter:250] Loss: 0.251 | MIoU: 76.609% 
[epoch:1, iter:260] Loss: 0.247 | MIoU: 76.897% 
[epoch:1, iter:270] Loss: 0.241 | MIoU: 77.244% 
[epoch:1, iter:280] Loss: 0.237 | MIoU: 77.489% 
[epoch:1, iter:290] Loss: 0.234 | MIoU: 77.720% 
[epoch:1, iter:300] Loss: 0.231 | MIoU: 77.980% 
[epoch:1, iter:310] Loss: 0.228 | MIoU: 78.234% 
[epoch:1, iter:320] Loss: 0.225 | MIoU: 78.493% 
